DIRECCIÓN,BARRIO,"COORDENADAS
CRA 44W # 59A-48,Estoraques,1.103.153,1.275.873,Tipo Milán,3''
CRA 48W # 59B-43,Estoraques,1.103.041,1.275.786,Tipo Milán,3''
CL 60 # 1W-03,Ciudadela Real de Minas,1.104.834,1.277.097,Tipo Milán,3''
CRA 2W # 63-08,Mutis,1.104.879,1.276.914,Tipo Milán,3''
AV LOS BUCAROS # 2-108 CONJ. RESIDENCIAL LAURELES,Ciudadela Real de Minas,1.104.781,1.277.455,Tipo Milán,3''
CRA 3 # 55-146 ,Ciudadela Real de Minas,1.104.893,1.277.305,Tipo Milán,3''
CRA 3 # 63-60 ,Ciudadela Real de Minas,1.105.099,1.276.987,Tipo Milán,3''
CRA 5 # 61-15 INT 5,Ciudadela Real de Minas,1.105.128,1.277.221,Tipo Milán,3''
AV LOS BUCAROS # 3-35 ,Ciudadela Real de Minas,1.104.843,1.277.464,Tipo Milán,3''
AV SAMANES # 9-140 ,Ciudadela Real de Minas,1.105.430,1.277.453,Tipo Milán,3''
CL 60 # 9-93 ,Ciudadela Real de Minas,1.105.485,1.277.525,Tipo Milán,3''
AV SAMANES # 9-75 ,Ciudadela Real de Minas,1.105.452,1.277.497,Tipo Tráfico,6''
CL ESTUDIANTES # 9-220,Ciudadela Real de Minas,1.105.369,1.277.675,Tipo Milán,3''
CL 61 # 1W-35 CASA 2,Ciudadela Real de Minas,1.105.038,1.276.793,Tipo Milán,3''
VIA CUCUTA # 258  B LOS LOS SAUCES,Los Sauces,1.107.125,1.280.761,Tipo Tráfico,4''
CRA 64 # 18-50,Buenavista,1.108.182,1.280.307,Tipo Tráfico,4''
CRA 8 # 64-22 CASA 32,Ciudadela Real de Minas,1.105.505,1.277.049,Tipo Milán,3''
CL 94 # 48-37 CASA 62,Lagos del Cacique,1.107.890,1.276.924,Tipo Tráfico,4''
CRA 9A # 64A-24 CASA 37,Ciudadela Real de Minas,1.105.658,1.277.092,Tipo Milán,3''
CRA 3 # 60-22 CASA 2 ETAPA 2,Ciudadela Real de Minas,1.104.921,1.277.115,Tipo Milán,3''
CL DE LOS ESTUDIANTES # 10-20,Ciudadela Real de Minas,1.105.385,1.277.762,Tipo Milán,3''
CRA 15#1N - 40,Villa Mercedes,1.104.092,1.281.842,Tipo Tráfico,4''
CRA 26A # 12-10 ,Universidad,1.105.663,1.280.983,Tipo Milán,3''
CL 16 # 25-58 ,San Francisco,1.105.634,1.280.618,Tipo Tráfico,4''
CL 50 # 29-31,Sotomayor,1.106.585,1.278.604,Tipo Tráfico,4''
CL 50 # 28-34 ,Sotomayor,1.106.497,1.278.616,Tipo Tráfico,4''
CL 41#14-82 ANDES 41,Centro,1.105.099,1.278.784,Tipo Tráfico,6''
CRA 20 # 51-57 ,La Concordia,1.105.955,1.278.280,Tipo Tráfico,4''
CRA 21 # 15-45,San Francisco,1.105.203,1.280.590,Tipo Tráfico,4''
CL 32 # 25-31 ,Antonia Santos centro,1.105.847,1.279.648,Tipo Tráfico,4''
TRANS 2A # 53-30 T 2 ,Ciudadela Real de Minas,1.104.696,1.277.467,Tipo Tráfico,4''
CRA 1W # 53-20 INT 8,Ciudadela Real de Minas,1.104.606,1.277.465,Tipo Tráfico,4''
CL 27#5-33,Girardot,1.104.092,1.279.406,Tipo Milán,3''
CL 13 # 28-38,Universidad,1.105.876,1.280.902,Tipo Milán,3''
CRA 32 # 19-68 ,San Alonso,1.106.245,1.280.367,Tipo Tráfico,4''
CRA 41 # 40-131 ,Cabecera del Llano,1.107.253,1.279.632,Tipo Tráfico,4''
CL 44 # 34-42 ,Cabecera del Llano,1.106.830,1.279.215,Tipo Tráfico,4''
CL 45#20 BOMBA PETROBRAS,Centro,1.105.746,1.278.803,Tipo Tráfico,4''
CRA 21B CL 116 MZ-N-CASA 14 P 3,Brisas de Provenza,1.106.224,1.274.787,Tipo Tráfico,4''
CRA 21B CL 115 MZ H CASA 12 P 1,Brisas de Provenza,1.106.118,1.274.719,Tipo Tráfico,4''
TRANS 112 # 20-53 ,Granjas de Provenza,1.105.944,1.274.862,Tipo Tráfico,4''
CRA 32 # 39N-27,Bosconia,1.106.508,1.283.006,Tipo Milán,3''
CL 64 # 28-41 BL 13 ,Conucos,1.106.630,1.277.595,Tipo Tráfico,4''
CRA 33 # 69-04,Antonia Santos sur,1.106.823,1.277.398,Tipo Tráfico,4''
CRA 27 # 84-18 ,Diamante II,1.106.897,1.276.127,Tipo Tráfico,4''
CRA 27A # 81-04 MULTIFAMILIAR DIAMANTE II,Diamante II,1.106.832,1.276.364,Tipo Tráfico,4''
CRA 29 # 93-31 INT 31A ,Villa Diamante,1.106.895,1.276.523,Tipo Tráfico,4''
CRA 53BW # 32-41 T 4 (MOD.A) ,Río de Oro I,1.101.043,1.277.616,Tipo Tráfico,4''
CRA 54W # 35-14 T 5 (MOD.A) ,Río de Oro I,1.100.987,1.277.465,Tipo Tráfico,4''
CRA 57W # 44-14 T 3 ,Río de Oro I,1.100.746,1.277.085,Tipo Tráfico,4''
TRANS 22A # 87-41,Diamante II,1.106.493,1.276.189,Tipo Milán,3''
CL 87 # 24-08,Diamante II,1.106.634,1.276.066,Tipo Milán,3''
CRA 21 # 46-20,La Concordia,1.105.819,1.278.675,Tipo Tráfico,4''
CRA 27 # 60-16,Ricaurte,1.106.426,1.277.791,Tipo Milán,3''
CL 51 # 23-45 ,Nuevo Sotomayor,1.106.197,1.278.493,Tipo Tráfico,4''
CRA 23 # 35-54 ,Antonia Santos centro,1.105.768,1.279.258,Tipo Tráfico,4''
CRA 26N#3,Regadero Norte,1.105.506,1.282.190,Tipo Tráfico,4''
CRA 26B # 1N-171 T 3 ,Regadero Norte,1.105.447,1.282.326,Tipo Tráfico,4''
CL 31 # 31-63,La Aurora,1.106.361,1.280.059,Tipo Tráfico,4''
CL 37 # 25-48 T SUR ,Bólivar,1.106.070,1.279.220,Tipo Tráfico,4''
CRA 17#45-107,La Concordia,1.105.508,1.278.595,Tipo Tráfico,4''
CL 28A#3-12,Girardot,1.103.951,1.279.272,Tipo Milán,3''
CL 58 # 4-71 OF. TRÁNSITO Y MOVILIDAD GIRÓN ,Zona Industrial Autopista a Bucaramanga lado sur,1.102.407,1.275.165,Tipo Tráfico,4''
CL 57 # 20-06,El Rosal,1.103.976,1.285.561,Tipo Milán,3''
CL 35 #22-37,Antonia Santos centro,1.105.617,1.279.261,Tipo Tráfico,4''
CL 7 # 23-53,Comuneros,1.105.280,1.281.392,Tipo Tráfico,4''
CL 115 # 22-77 ,Provenza,1.106.370,1.274.794,Tipo Milán,3''
CRA 17A # 61-29,La Ceiba,1.106.051,1.277.463,Tipo Tráfico,4''
CRA 28 # 19-59 ,San Alonso,1.105.919,1.280.313,Tipo Tráfico,4''
CL 94A # 33-105,El Tejar,1.107.171,1.276.672,Tipo Milán,3''
CRA 19 # 17,San Francisco,1.105.037,1.280.418,Tipo Tráfico,4''
CL 16 # 19-48,San Francisco,1.105.075,1.280.507,Tipo Tráfico,4''
CRA 11#17,Gaitán,1.104.295,1.280.313,Tipo Milán,3''
CRA 33A # 30-43,Quinta Dania,1.106.622,1.280.220,Tipo Milán,3''
CRA 35 # 13-29 ,Los Pinos,1.106.894,1.280.785,Tipo Milán,3''
CL 22 # 20-24 ANDES 22,Alarcón,1.105.254,1.279.958,Tipo Tráfico,4''
CL 18 # 29-22,San Alonso,1.106.009,1.280.501,Tipo Tráfico,4''
CL 8 # 19-37,Comuneros,1.104.919,1.281.224,Tipo Tráfico,4''
CRA 50 # 54-32,Pan de Azucar,1.107.691,1.278.317,Tipo Tráfico,4''
CL 14 # 26-28,San Francisco,1.105.668,1.280.816,Tipo Milán,3''
CL 15 # 20-36,San Francisco,1.105.136,1.280.617,Tipo Tráfico,4''
CRA 27 # 54-10 ,Bolarqui,1.106.340,1.278.225,Tipo Tráfico,4''
CRA 19 # 65-56,La Victoria,1.106.150,1.277.105,Tipo Tráfico,4''
CL 28 # 30-02,La Aurora,1.106.133,1.280.088,Tipo Tráfico,4''
CL 30 # 29-06,La Aurora,1.106.093,1.279.993,Tipo Tráfico,4''
CL 1N#12-49,Norte Bajo,1.103.968,1.281.713,Tipo Tráfico,4''
CL 58 # 32-21,Mercedes,1.106.803,1.277.991,Tipo Tráfico,4''
DG 54 # 50-124,Pan de Azucar,1.107.856,1.278.858,Tipo Milán,3''
CRA 19#39-35,Centro,1.105.534,1.278.881,Tipo Tráfico,4''
CL 27#6,Girardot,1.104.162,1.279.418,Tipo Milán,3''
CRA 48 # 30-21 ,Venado de oro,1.107.220,1.280.272,Tipo Tráfico,4''
CL 113 # 22-07 ,Granjas de Provenza,1.106.209,1.274.946,Tipo Tráfico,4''
CRA 13 #43-65,Garcia Rovira,1.104.984,1.278.516,Tipo Milán,3''
CRA 39 # 51-14 ,Cabecera del Llano,1.107.270,1.278.725,Tipo Tráfico,4''
CRA 25 # 105-12 ,Provenza,1.106.840,1.275.443,Tipo Tráfico,4''
CRA 41 # 34A-113 ,Cabecera del Llano,1.107.318,1.279.916,Tipo Tráfico,3''
CRA 41 # 34A-15 CASA 1,Cabecera del Llano,1.107.331,1.279.962,Tipo Tráfico,3''
CRA 14A#45-71 ,Chorreras de Don Juan,1.105.138,1.278.476,Tipo Milán,4''
CRA 10#56-28 - BODEGAS VEGAS DE VILLAMIZAR ,Zona Industrial Autopista a Bucaramanga lado sur,1.101.510,1.275.024,Tipo Tráfico,4''
DG 15 #52-61,La Concordia,1.105.861,1.278.166,Tipo Tráfico,4''
CRA 21A # 110-11 ,Granjas de Provenza,1.106.179,1.275.030,Tipo Tráfico,4''
CL 114 # 18-26 ,Brisas de Provenza,1.106.043,1.274.785,Tipo Milán,3''
CRA 18 # 11-43,Modelo,1.104.850,1.280.876,Tipo Tráfico,4''
CRA 26 # 21-48 ,San Francisco,1.105.786,1.280.087,Tipo Tráfico,4''
CRA 25 # 21-44 CASA 1,San Francisco,1.105.688,1.280.119,Tipo Milán,3''
CRA 1A#46,Campo Hermoso,1.104.129,1.277.828,Tipo Tráfico,4''
CRA 20#28-30,Alarcón,1.105.312,1.279.709,Tipo Tráfico,4''
VIA BUCARAMANGA-RIONEGRO # 40- 173 FINCA GETSEMANI,Campestre Norte,1.104.367,1.285.153,Tipo Milán,3''
CL 43N # 23-30 ,Campestre Norte,1.104.495,1.284.993,Tipo Tráfico,4''
CRA 22 # 22-73,Alarcón,1.105.432,1.279.932,Tipo Tráfico,4''
CL 23N # 12-105,Kennedy,1.104.108,1.283.091,Tipo Milán,3''
CRA 12 # 16N-PAR,Kennedy,1.104.135,1.282.793,Tipo Tráfico,4''
CL 9ABISN # 10A-24 T 26 ,Minuto de Dios,1.104.368,1.282.343,Tipo Milán,3''
HOSPITAL DEL NORTE ENTRE CRA 9 - CRA10,Tejar Norte,1.104.176,1.282.359,Tipo Milán,3''
VIA AL MAR KM 2 # 1-95,Esperanza III,1.104.623,1.282.291,Tipo Milán,3''
CL 16#12,Gaitán,1.104.369,1.280.423,Tipo Milán,3''
CL  45#1OCC,Campo Hermoso,1.103.860,1.277.770,Tipo Tráfico,4''
CL  45 #1A ZONA VERDE ,Campo Hermoso,1.104.090,1.277.957,Tipo Milán,3''
CL  41 ENTRE CALLE 4 Y 4A CENTRO DE SALUD LA JOYA,Alfonso López,1.104.209,1.278.541,Tipo Tráfico,6''
CRA 21 # 46A-31,La Concordia,1.105.876,1.278.626,Tipo Milán,3''
CRA 21 # 68-56,La Victoria,1.106.417,1.276.940,Tipo Milán,3''
CL 69 # 9-14 ,Bucaramanga,1.105.302,1.276.175,Tipo Milán,3''
CRA 32 # 99A-08 ,La Libertad,1.107.174,1.276.428,Tipo Milán,3''
CL 104F # 8B-44 BL 4 ,El Porvenir,1.104.832,1.274.939,Tipo Milán,3''
CL 104G # 7A-76 T 4 ,El Porvenir,1.104.628,1.274.915,Tipo Milán,3''
VIA AL MAR CRA 21 # 38N-10 SUB ESTACION LOS PALOS,N/A,1.104.362,1.284.412,Tipo Milán,3''
CL 104 # 29-15,Diamante I,1.107.059,1.276.109,Tipo Milán,3''
CL 24 # 18,Granada,1.105.083,1.279.772,Tipo Milán,3''
CRA 25 # 7A-30,Universidad,1.105.439,1.281.326,Tipo Tráfico,4''
CRA 38 # 44-08 ,Cabecera del Llano,1.107.067,1.279.236,Tipo Tráfico,4''
CRA 16 # 07,Comuneros,1.104.662,1.281.272,Tipo Tráfico,4''
CRA 38 # 45-74 ,Cabecera del Llano,1.107.079,1.279.051,Tipo Milán,3''
AV 38 # 48-12 T.A ,Cabecera del Llano,1.107.057,1.278.872,Tipo Tráfico,4''
CL 8 # 23-50,Comuneros,1.105.313,1.281.285,Tipo Tráfico,4''
CRA 13#59-66 BODEGAS SIÓN 3,La Esmeralda,1.101.187,1.275.382,Tipo Tráfico,3''
CL 58#8 - 51 ,Zona Industrial Autopista a Bucaramanga lado sur,1.101.933,1.275.217,Tipo Milán,3''
CL  58#9-24 KM 6 ,Zona Industrial Autopista a Bucaramanga lado sur,1.101.659,1.275.232,Tipo Milán,3''
CL  51 #13A-48,San Miguel,1.105.114,1.277.977,Tipo Milán,3''
CRA 17#37 ESQUINA GOBERNACIÓN ,Garcia Rovira,1.104.655,1.278.822,Tipo Tráfico,4''
CL  34 10-45,Garcia Rovira,1.104.613,1.278.978,Tipo Tráfico,4''
CL  45#10 OCC 21,1 de Mayo,1.103.450,1.277.317,Tipo Tráfico,4''
CL  45 #4A-66,Chorreras de Don Juan,1.104.404,1.278.170,Tipo Milán,3''
CRA 15#31,Don Bosco,1.102.794,1.278.207,Tipo Milán,3''
CRA 20 # 24,Alarcón,1.105.248,1.279.839,Tipo Milán,3''
CRA 21#31-41,Antonia Santos centro,1.105.467,1.279.529,Tipo Tráfico,4''
CL 12 # 20-73 BOMBEROS ,Mutualidad,1.105.131,1.280.824,Tipo Tráfico,4''
CL 41#18,Centro,1.105.416,1.278.838,Tipo Milán,3''
CRA 20#39,Centro,1.105.626,1.278.945,Tipo Milán,3''
CRA 15#32-06,Centro,1.104.946,1.279.256,Tipo Tráfico,4''
CRA 15#37-13,Centro,1.105.120,1.278.885,Tipo Tráfico,4''
CRA 12#13,Gaitán,1.104.323,1.280.674,Tipo Tráfico,4''
CL 28 #17,Granada,1.105.021,1.279.664,Tipo Milán,3''
CL 29#16,Granada,1.104.969,1.279.561,Tipo Milán,3''
CL 26#1 OCC,La Feria,1.103.559,1.279.379,Tipo Milán,3''
CL 34#17-53,Centro,1.105.227,1.279.218,Tipo Piso,2''
VIA AL MAR KM 2 CL 8N # 15-04,Miramar,1.104.626,1.282.246,Tipo Tráfico,4''
CRA 36 # 41-37/ 39 ,El Prado,1.106.930,1.279.406,Tipo Milán,3''
CRA 39 # 44-125 T 2 ,Cabecera del Llano,1.107.201,1.279.173,Tipo Tráfico,4''
CRA 39 # 48-135 ,Cabecera del Llano,1.107.262,1.278.745,Tipo Tráfico,4''
CL 45 # 37-11 ,Cabecera del Llano,1.107.040,1.279.146,Tipo Tráfico,4''
CRA 8W # 41-88,Campo Hermoso,1.103.371,1.277.629,Tipo Milán,3''
CRA 9AW # 44-03,Campo Hermoso,1.103.428,1.277.511,Tipo Milán,3''
CRA 9BW # 41-01,Campo Hermoso,1.103.277,1.277.501,Tipo Milán,3''
CRA 10W # 50-137,Charta,1.103.728,1.277.044,Tipo Milán,3''
CL 55 # 25-12,Colorados,1.104.548,1.285.671,Tipo Milán,3''
CL 72 # 31-36 SOL II ET,Quebrada La iglesia,1.106.995,1.277.227,Tipo Milán,2''
DG 32 # 33A-119 ,Quinta Brigada,1.106.833,1.280.337,Tipo Milán,4''
CRA 51 # 73-99 CASA 4,Lagos del Cacique,1.108.005,1.277.126,Tipo Milán,3''
CL 100 # 36-39 CASA 61 URB EL GIRASOL,El Tejar,1.107.561,1.276.531,Tipo Milán,3''
CL 51 # 23-60 ,Nuevo Sotomayor,1.106.212,1.278.486,Tipo Milán,4''
CRA 26 # 18-79,San Francisco,1.105.716,1.280.362,Tipo Milán,4''
CL 74 # 53-23,Lagos del Cacique,1.108.204,1.277.104,Tipo Milán,4''
CL 74 # 52-90,Lagos del Cacique,1.108.176,1.277.123,Tipo Tráfico,4''
CL 51 # 26A-20 ,Nuevo Sotomayor,1.106.289,1.278.649,Tipo Milán,4''
CL 106 # 26A-05 T 2 ,Provenza,1.107.050,1.275.589,Tipo Milán,4''
CRA 49 # 53-200 ,Pan de Azucar,1.107.648,1.278.340,Tipo Tráfico,4''
CL 35 # 27-79 ,Mejoras Públicas,1.106.216,1.279.503,Tipo Tráfico,4''
TRANS 93 # 34-180 T 5 ,El Tejar,1.107.105,1.276.979,Tipo Tráfico,6''
CL 35 # 23-51 ,Antonia Santos centro,1.105.800,1.279.325,Tipo Milán,4''
CL 100 # 36-42 T 9 ,El Tejar,1.107.599,1.276.485,Tipo Milán,3''
AV EL TEJAR # 35-99 ,El Tejar,1.107.530,1.276.478,Tipo Milán,3''
VIA PALENQUE-CAFE KM 2 ,Río de Oro II,1.100.829,1.276.847,Tipo Tráfico,4''
CL 28 # 7-58,Girardot,1.104.332,1.279.353,Tipo Milán,3''
CRA 14 # 51-18 ,San Miguel,1.105.194,1.277.988,Tipo Milán,3''
CL 68 # 16-07,La Victoria,1.106.162,1.276.831,Tipo Milán,3''
CRA 13 # 200-127 T 1 ,Bolarqui,1.106.413,1.278.320,Tipo Tráfico,4''
VIA CAFE MADRID # 2-58,13 de Junio,1.104.479,1.282.563,Tipo Tráfico,4''
CL 36#27-79,Mejoras Públicas,1.106.238,1.279.406,Tipo Tráfico,4''
CRA 27 # 36-07,Mejoras Públicas,1.106.173,1.279.353,Tipo Tráfico,4''
CRA 17A # 55-62,La Concordia,1.105.855,1.277.864,Tipo Tráfico,4''
CRA 33 # 86-76 T 2 ,San Martin,1.107.020,1.276.910,Tipo Tráfico,4''
CL 28 # 31-22 ,La Aurora,1.106.233,1.280.164,Tipo Tráfico,4''
CRA 49 # 72-31 QUINTA 35,El Tejar,1.107.679,1.277.373,Tipo Tráfico,4''
CIRCUN 35 # 72-95 SALA DE VENTAS,El Tejar,1.107.524,1.277.085,Tipo Tráfico,4''
CL 7N # 1-63 B.MIRAMAR,Miramar,1.104.621,1.282.141,Tipo Tráfico,4''
BV EL TEJAR # 35-95,El Tejar,1.107.563,1.276.776,Tipo Milán,4''
CRA 48 # 53-56 ,Terrazas,1.107.498,1.278.364,Tipo Milán,3''
CL 47 # 10W,Campo Hermoso,1.103.481,1.277.148,Tipo Milán,3''
CALLE 19N CRA 21AN,Villa Helena II,1.104.853,1.283.061,Tipo Milán,3''
CRA 24 # 33A-28,Antonia Santos centro,1.105.789,1.279.448,Tipo Tráfico,4''
CALLE 56 CRA 30,Mercedes,1.106.719,1.278.025,Tipo Milán,3''
CL 105 # 5-06 LADRILLERA BAUTISTA,N/A,1.103.894,1.274.654,Tipo Tráfico,4''
CALLE 34 CRA 34 ESQUINA,Cabecera del Llano,1.106.809,1.279.102,Tipo Milán,3''
CRA 35A CALLE 46 ESQUINA,Cabecera del Llano,1.106.933,1.279.018,Tipo Tráfico,4''
CALLE 53 CRA 21,La Concordia,1.106.082,1.278.217,Tipo Milán,3''
CRA 20 CALLE 104,Provenza,1.106.050,1.275.457,Tipo Milán,3''
VIA GIRON KM 4 PRONALCI S.A.,Quebrada La iglesia I,1.103.769,1.275.543,Tipo Milán,3''
CRA 23 # 105-08,Provenza,1.106.503,1.275.361,Tipo Tráfico,4''
CALLE 111 # 23B-52,Provenza,1.106.480,1.274.998,Tipo Tráfico,4''
CRA 20F # 43N-71 ,Colorados,1.104.253,1.285.232,Tipo Milán,3''
CRA 26B # 1N-193,Regadero Norte,1.105.433,1.282.434,Tipo Tráfico,4''
CRA 14W # 60-36,Brisas del Mutis,1.104.194,1.276.528,Tipo Milán,3''
CRA 30 # 11 ESTADIO,San Alonso,1.106.027,1.281.094,Tipo Tráfico,4''
CL 39#22 ESQUINA PARQUE BOLÍVAR,Bólivar,1.105.787,1.279.014,Tipo Milán,3''
CRA 40 # 48-33,Cabecera del Llano,1.107.309,1.278.833,Tipo Tráfico,4''
AVENIDA 42 # 48-86,Cabecera del Llano,1.107.350,1.278.820,Tipo Milán,3''
CALLE 32 # 31-58,Mejoras Públicas,1.106.422,1.279.951,Tipo Tráfico,4''
CRA 22 CALLE 107,Provenza,1.106.299,1.275.247,Tipo Tráfico,4''
CRA 22 CALLE 115,Provenza,1.106.279,1.274.798,Tipo Tráfico,4''
CALLE 42 # 29-50,Mejoras Públicas,1.106.597,1.279.272,Tipo Tráfico,4''
CRA 20H # 41N ,Campestre Norte,1.104.270,1.285.043,Tipo Tráfico,4''
CALLE 17N # 34A-07,Los Angeles,1.105.384,1.282.842,Tipo Milán,3''
CRA 43 # 32-107,Alvarez las Américas,1.107.043,1.280.082,Tipo Tráfico,4''
CRA 40 # 32A-17,Alvarez las Américas,1.106.969,1.280.015,Tipo Tráfico,4''
CALLE 65 # 18-49,La Victoria,1.106.113,1.277.144,Tipo Milán,3''
CRA 17A # 58-79,Ricaurte,1.105.964,1.277.629,Tipo Tráfico,4''
CALLE52#54-41,Pan de Azucar,1.107.958,1.278.783,Tipo Milán,3''
CRA35 # 64-03,Monterredondo,1.103.767,1.275.983,Tipo Tráfico,3''
CALLE 65 # 30W-09,Monterredondo,1.103.916,1.275.941,Tipo Tráfico,3''
CALLE 10 CRA 36,Los Pinos,1.106.958,1.281.035,Tipo Milán,2''
CALLE 58 # 9-24,12 de Octubre,1.101.669,1.275.236,Tipo Tráfico,3''
CALLE 56 # 8-47,12 de Octubre,1.101.938,1.275.227,Tipo Tráfico,3''
CALLE 56 # 7-10,12 de Octubre,1.102.105,1.275.217,Tipo Milán,3''
CALLE 70 CRA 43,12 de Octubre,1.103.682,1.275.461,Tipo Milán,3''
CALLE 70  CRA40,12 de Octubre,1.104.196,1.275.699,Tipo Milán,3''
CRA 22 # 11-82,San Francisco,1.105.226,1.280.921,Tipo Milán,3''
MANZANA F PASEO DE LA FERIA,La Feria,1.103.557,1.279.384,Tipo Milán,3''
CRA11 # 27-04,Don Bosco,1.103.339,1.278.743,Tipo Milán,3''
CALKE 1 # 17-04,Transición,1.104.596,1.281.864,Tipo Milán,3''
CRA 13 # 27-05,Santander,1.103.211,1.278.691,Tipo Milán,3''
CRA15 OCC # 31 OCC-06,Don Bosco,1.102.808,1.278.212,Tipo Milán,3''
CALLE 37 # 1OCC-37,La Joya,1.103.842,1.278.308,Tipo Milán,3''
CALLE 19 CRA 21,Villa Helena II,1.104.859,1.283.068,Tipo Milán,3''
CAFE MADRID,Café Madrid,1.103.466,1.283.772,Tipo Milán,3''
CALLE 52 #54-41,Pan de Azucar,1.107.957,1.278.783,Tipo Milán,3''
DIAG 52 # 50-118,Pan de Azucar,1.107.856,1.278.859,Tipo Milán,3''
CALLE 3N # 17B-08,La Juventud,1.104.647,1.281.930,Tipo Milán,3''
