DIRECCIÓN,BARRIO,X,Y,TIPO,DIÁMETRO HIDRANTE,WGS84 Latitud,WGS84 Longitud
CRA 19 # 102-52,Fontana,1105980,1275505,Tipo Tráfico,4'',,
CRA 25 # 18-17,San Francisco,1105624,1280398,Tipo Tráfico,4'',,
CL 46 # 39-88,"Cabecera del
Llano",1107285,1279051,Tipo Tráfico,4'',,
CL 41 # 24-45,Bólivar,1106051,1278974,Tipo Tráfico,4'',,
CL 19 # 31-45,San Alonso,1106200,1280453,Tipo Tráfico,4'',,
AV LOS BUCAROS # 3-155,"Ciudadela Real de
Minas",1104990,1277426,Tipo Tráfico,4'',,
AV LOS BUCAROS # 3-308,"Ciudadela Real de
Minas",1105074,1277412,Tipo Tráfico,4'',,
CL 34 # 29-27,Mejoras Públicas,1106314,1279664,Tipo Tráfico,4'',,
CRA 15 # 104B-69,Delicias,1105521,1275097,Tipo Tráfico,4'',,
CRA 20#24,Alarcón,1105251,1279844,Tipo Tráfico,4'',,
CL 14 # 25-44,San Francisco,1105588,1280813,Tipo Milán,3'',,
CL 19 # 24-28,San Francisco,1105545,1280301,Tipo Tráfico,4'',,
CRA 23 # 24-09,Alarcón,1105536,1279942,Tipo Tráfico,4'',,
CL 36 # 35-13,El Prado,1106798,1279696,Tipo Milán,3'',,
CL 13 # 25-31,Universidad,1105558,1280876,Tipo Milán,3'',,
CL 34 # 28-37,Mejoras Públicas,1106235,1279605,Tipo Tráfico,4'',,
CRA 24 # 10-44,Mutualidad,1105383,1281076,Tipo Tráfico,4'',,
CL 53 # 47A-13,Terrazas,1107463,1278366,Tipo Tráfico,4'',,
CL 21 # 29-43,San Alonso,1106070,1280231,Tipo Tráfico,4'',,
CRA 24 # 17-29,San Francisco,1105512,1280466,Tipo Tráfico,4'',,
CL 14 # 16-15,Modelo,1104738,1280645,Tipo Tráfico,4'',,
CL 48 # 18-54,La Concordia,1105766,1278487,Tipo Tráfico,4'',,
CL 71 # 54-55 LAG CACIQUE,Lagos del Cacique,1108136,1277565,Tipo Tráfico,4'',,
CL 106 # 25-49,Provenza,1106897,1275472,Tipo Tráfico,4'',,
"VIA PALENQUE-CAFE Z.INDUST.II
SECTOR FORJANDES",Río de Oro I,1102271,1281586,Tipo Tráfico,4'',,
"VIA PALENQUE-CAFE Z.INDUST.II
SECTOR FORJANDES",Río de Oro I,1102297,1281668,Tipo Tráfico,4'',,
"VIA PALENQUE-CAFE CRA 8 # 15N-
10 BODEGA 11",,1102385,1281835,Tipo Tráfico,4'',,
CRA 8 # 20N-148,"No aplica -
Bucaramanga",1102380,1281978,Tipo Tráfico,4'',,
CRA 8 # 20 -148,Café Madrid,1102368,1282171,Tipo Tráfico,4'',,
CIRCUN 35 # 92-170,El Tejar,1107283,1276862,Tipo Tráfico,6'',,
CRA 33 # 85-136/ 150,San Martin,1106990,1276848,Tipo Tráfico,4'',,
CRA 23 # 48-17,Nuevo Sotomayor,1106099,1278610,Tipo Tráfico,4'',,
CL  45#0-150,Campo Hermoso,1104067,1277906,Tipo Tráfico,6'',,
CL 20 # 32-15,San Alonso,1106295,1280376,Tipo Tráfico,6'',,
CRA 23 # 51-46,La Concordia,1106165,1278417,Tipo Tráfico,4'',,
CRA 28 # 40-37,Mejoras Públicas,1106376,1279273,Tipo Tráfico,4'',,
CRA 25 # 18-65,San Francisco,1105631,1280355,Tipo Tráfico,4'',,
GRANJA 8,"Granjas de
Provenza",1105902,1274825,Tipo Tráfico,4'',,
CL 30 # 23-70,"Antonia Santos
centro",1105636,1279785,Tipo Tráfico,4'',,
CRA 38 # 41-36,"Cabecera del
Llano",1107057,1279500,Tipo Tráfico,4'',,
CL 91 # 22-68,Diamante II,1106499,1275871,Tipo Tráfico,4'',,
CL 42 # 28-72,Mejoras Públicas,1106508,1279229,Tipo Tráfico,4'',,
CRA 34 # 32-65,"Alvarez las
Américas",1106759,1280039,Tipo Tráfico,4'',,
CL 16 # 23-26,San Francisco,1105429,1280578,Tipo Tráfico,4'',,
CL 105 # 15B-29,Delicias,1105669,1275120,Tipo Tráfico,4'',,
CRA 29 # 33-08,Mejoras Públicas,1106229,1279725,Tipo Tráfico,4'',,
"CRA 10-BETANIA SECTOR D-
PEATONAL 1-CASA 14","Villas de San
Ignacio",1103451,1282857,Tipo Tráfico,4'',,
COLSEG NORTE BL 18,Colseguros Norte,1104323,1282196,Tipo Tráfico,4'',,
CL 7N # 11-33 MIRAMAR,Miramar,1104475,1282145,Tipo Milán,3'',,
CRA 10 # 9N-23,Minuto de Dios,1104362,1282268,Tipo Milán,3'',,
CL 28N # 11-02,Altos del Kennedy,1103875,1283283,Tipo Piso,2'',,
CRA 11 # 13BN-18,Omaga I,1104209,1282539,Tipo Piso,2'',,
CRA 5 # 15N-04,Maria Paz,1103785,1282356,Tipo Milán,3'',,
CL 17N # 10-07,Kennedy,1104053,1282732,Tipo Tráfico,4'',,
CRA 17 # 16-11,Altos del Progreso,1104331,1282803,Tipo Milán,3'',,
CL 104K # 5A-58,El Porvenir,1104297,1274661,Tipo Milán,3'',,
DG 11A # 27N-02,Altos del Kennedy,1103936,1283209,Tipo Milán,3'',,
CRA 12 # 28N-44,Omaga II,1103976,1283334,Tipo Milán,3'',,
CL 55B # 29-47,Bolarqui,1106678,1278124,Tipo Tráfico,4'',,
CRA 39 # 48-67,"Cabecera del
Llano",1107224,1278807,Tipo Tráfico,4'',,
CRA 39A # 42-106,"Cabecera del
Llano",1107203,1279297,Tipo Tráfico,4'',,
CL 51 # 38-14,"Cabecera del
Llano",1107176,1278676,Tipo Tráfico,4'',,
CRA 39 # 48-110,"Cabecera del
Llano",1107224,1278783,Tipo Tráfico,4'',,
CRA 49 # 64-65,La Floresta,1107497,1277712,Tipo Piso,2'',,
CRA 38 # 41-108,"Cabecera del
Llano",1107034,1279442,Tipo Tráfico,4'',,
CRA 39A # 44-209,"Cabecera del
Llano",1107239,1279079,Tipo Piso,2'',,
CL 44 # 36-30 T 1,"Cabecera del
Llano",1107009,1279245,Tipo Milán,3'',,
CRA 39 # 48-06,"Cabecera del
Llano",1107182,1278880,Tipo Tráfico,4'',,
CL 32 # 34-27,Quinta Brigada,1106804,1280112,Tipo Tráfico,4'',,
CRA 47#3OCC,Campo Hermoso,1103860,1277533,Tipo Milán,3'',,
CRA 12A OCC#44,1 de Mayo,1103225,1277328,Tipo Milán,3'',,
CL 42#8-46,Alfonso López,1104580,1278594,Tipo Tráfico,4'',,
CRA 9#43-75,Garcia Rovira,1104686,1278453,Tipo Tráfico,4'',,
CRA 17#46-169,La Concordia,1105537,1278519,Tipo Milán,3'',,
CRA 13#51,San Miguel,1104997,1277950,Tipo Milán,3'',,
CL  45 N 8-81,Garcia Rovira,1104782,1278407,Tipo Milán,3'',,
CRA 4 #37-24,La Joya,1104027,1278615,Tipo Tráfico,3'',,
CL 41#1,La Joya,1104036,1278275,Tipo Milán,3'',,
CL 37#2A,La Joya,1103937,1278455,Tipo Milán,3'',,
CRA 10#43-58,Garcia Rovira,1104756,1278510,Tipo Milán,3'',,
CL 51#12,Candiles,1104788,1277842,Tipo Tráfico,4'',,
CRA1#46 ESQUINA,Campo Hermoso,1104134,1277835,Tipo Milán,3'',,
CL 46 # 5-04,"Chorreras de Don
Juan",1104430,1278117,Tipo Piso,2'',,
CL  46#10 OCC-87,Campo Hermoso,1103886,1277661,Tipo Milán,3'',,
CRA 10O #49,Campo Hermoso,1103638,1277260,Tipo Milán,3'',,
CL 44#9-19,Garcia Rovira,1104707,1278440,Tipo Tráfico,4'',,
CL  41#3A-27,La Joya,1104184,1278505,Tipo Milán,3'',,
CL  52 #16,San Miguel,1105527,1278028,Tipo Milán,3'',,
CL 37#8 OCC,La Joya,1103537,1278065,Tipo Milán,3'',,
CL 36 #11OCC-22,Pantano II,1103337,1278098,Tipo Milán,3'',,
CRA 18#36-45,La Joya,1103147,1277861,Tipo Milán,3'',,
CRA 21#41-31,Bólivar,1105769,1278870,Tipo Tráfico,4'',,
CL 17 # 32-31,San Alonso,1106249,1280651,Tipo Tráfico,4'',,
CRA 41 # 41-71/ 77,"Cabecera del
Llano",1107292,1279565,Tipo Tráfico,6'',,
CL 18 # 24-46,San Francisco,1105575,1280423,Tipo Tráfico,4'',,
CL 30 # 28-60,La Aurora,1106057,1279959,Tipo Tráfico,4'',,
CRA 39A # 44-23,"Cabecera del
Llano",1107221,1279269,Tipo Tráfico,4'',,
CL 37 #5-07,Alfonso López,1104264,1278659,Tipo Tráfico,4'',,
CL 35 #8-25,Alfonso López,1104459,1278841,Tipo Tráfico,4'',,
CL 12 # 24-52,Mutualidad,1105471,1280945,Tipo Tráfico,4'',,
CL 107 # 22A-38,Provenza,1106389,1275241,Tipo Tráfico,4'',,
CRA 34 # 32-134,"Alvarez las
Américas",1106717,1279965,Tipo Tráfico,4'',,
CL 39 # 23-81,Bólivar,1105937,1279091,Tipo Tráfico,4'',,
CL 19 # 18-31,San Francisco,1105023,1280216,Tipo Tráfico,4'',,
CRA 40 # 42-11,"Cabecera del
Llano",1107256,1279420,Tipo Tráfico,4'',,
CL 21 # 20-32,San Francisco,1105245,1280056,Tipo Tráfico,4'',,
CRA 17 #13,Modelo,1104773,1280705,Tipo Tráfico,4'',,
CRA 25 # 33-95 T 1,"Antonia Santos
centro",1105892,1279470,Tipo Tráfico,4'',,
CL 3N#15,Chapinero,1104320,1281567,Tipo Tráfico,4'',,
CL 50 # 27A-41,Sotomayor,1106422,1278666,Tipo Tráfico,4'',,
CL 3N#15-63,Chapinero,1104373,1281577,Tipo Tráfico,4'',,
CL 51A # 15-13,San Miguel,1105395,1278025,Tipo Milán,3'',,
CRA 10 # 52,San Miguel,1105532,1277987,Tipo Milán,3'',,
CRA 15 #50,San Miguel,1105308,1278172,Tipo Milán,3'',,
CL 108 # 22A-40,Provenza,1106401,1275181,Tipo Tráfico,4'',,
CL 33A # 24-83..,"Antonia Santos
centro",1105854,1279508,Tipo Tráfico,4'',,
CL 40A # 25-65,Bólivar,1106165,1279080,Tipo Tráfico,4'',,
CRA 38 # 41-36,"Cabecera del
Llano",1107049,1279488,Tipo Tráfico,4'',,
CL 42 # 40-15 PORTERIA,"Cabecera del
Llano",1107252,1279448,Tipo Tráfico,4'',,
CL 55A # 1-17 URB CENTAUROS,"Ciudadela Real de
Minas",1104795,1277208,Tipo Tráfico,4'',,
CL 51 # 18-67,La Concordia,1105862,1278309,Tipo Tráfico,4'',,
CRA 40A # 41-56,"Cabecera del
Llano",1107242,1279534,Tipo Tráfico,4'',,
CRA 7 #35-72,Alfonso López,1104288,1278690,Tipo Tráfico,4'',,
CRA 39 # 51-14,"Cabecera del
Llano",1107263,1278718,Tipo Tráfico,4'',,
CL 19 # 30-34,San Alonso,1106113,1280424,Tipo Tráfico,4'',,
CRA 17 # 68-65,La Victoria,1106259,1276796,Tipo Tráfico,4'',,
VIA PAMPLONA # 1-97,Quinta Brigada,1107167,1280315,Tipo Tráfico,4'',,
CL 22 #20-37,San Francisco,1105267,1279976,Tipo Tráfico,6'',,
CRA 36 # 48-76 HOTEL,"Cabecera del
Llano",1107028,1278793,Tipo Tráfico,4'',,
CL 107 # 22A-110,Provenza,1106462,1275242,Tipo Tráfico,4'',,
CRA 10 DN # 24-12 T 19,"Villas de San
Ignacio",1103466,1282715,Tipo Tráfico,4'',,
CL 10 # 22-36,Mutualidad,1105234,1281074,Tipo Tráfico,4'',,
CL 40 # 23-54,Bólivar,1105976,1279048,Tipo Tráfico,4'',,
CRA 23 # 37-81,Bólivar,1105865,1279050,Tipo Milán,3'',,
CL 10NB # 2 OCC - 03 -  ETAPA 3,"Villas de San
Ignacio",1102851,1282538,Tipo Tráfico,4'',,
CRA 49 # 53-158,Pan de Azucar,1107628,1278402,Tipo Milán,3'',,
CL 32 # 25-50/60,"Antonia Santos
centro",1105893,1279663,Tipo Tráfico,4'',,
CL 21 # 28-25,San Alonso,1105966,1280209,Tipo Tráfico,4'',,
CL 24 # 24-44,Alarcón,1105660,1279979,Tipo Tráfico,4'',,
CL 106 # 21-05,Provenza,1106113,1275290,Tipo Milán,3'',,
CRA 38#18-64,Centro,1105468,1278930,Tipo Tráfico,4'',,
CRA 28 # 45-63,Sotomayor,1106534,1278938,Tipo Milán,3'',,
CL 66A # 25W-11,La Gran Ladera,1104190,1275863,Tipo Tráfico,4'',,
CRA 17 # 70-04,Nueva Granada,1106350,1276653,Tipo Milán,3'',,
CRA 17 # 22N-06,Olas Bajas,1104255,1283134,Tipo Milán,3'',,
CL 110A # 15-07,Punta Paraíso,1105277,1274485,Tipo Tráfico,4'',,
CL 64 # 46-05,La Floresta,1107345,1277775,Tipo Tráfico,4'',,
"COSTADO SUR VIADUCTO LA
FLORA",El Tejar,1107249,1277045,Tipo Tráfico,4'',,
CRA 32 # 17-40,San Alonso,1106224,1280599,Tipo Tráfico,4'',,
TRANS 93 # 34-180 T 8,El Tejar,1107137,1277022,Tipo Tráfico,4'',,
TRANS 93 # 34-99 OF 1004,El Tejar,1107128,1276959,Tipo Tráfico,4'',,
TRANS 93 # 34-99,El Tejar,1107116,1276899,Tipo Tráfico,4'',,
TRANS ORIENTAL # 90-182,El Tejar,1107229,1276994,Tipo Tráfico,4'',,
TRANS 93 # 34-99,El Tejar,1107246,1276885,Tipo Tráfico,4'',,
DG 31 # 52-06,Bolarqui,1106630,1278397,Tipo Tráfico,4'',,
CRA 24 # 19N-07,Lizcano II,1105198,1282409,Tipo Milán,3'',,
CL 37 #6-23,Alfonso López,1104320,1278680,Tipo Tráfico,4'',,
CRA 34 # 42-54,"Cabecera del
Llano",1106765,1279276,Tipo Tráfico,4'',,
TRANS CENTRAL METROP # 2A-14,Bucaramanga,1104830,1276351,Tipo Milán,3'',,
CL 121 # 19-12,El Cristal,1106021,1274430,Tipo Milán,3'',,
CRA 21B # 115-116 BL 2 E.A AP.101,Provenza,1106226,1274622,Tipo Milán,3'',,
CRA 24 # 89-08,Diamante II,1106583,1275958,Tipo Milán,3'',,
AV 89 # 23-211,Diamante II,1106739,1276358,Tipo Milán,3'',,
TRANS ORIENTAL # 90-182,El Tejar,1107239,1276934,Tipo Tráfico,4'',,
CL 19 # 32-45,San Alonso,1106302,1280472,Tipo Tráfico,4'',,
CL 105 # 21-05,Provenza,1106114,1275393,Tipo Piso,2'',,
CRA 21 # 103-32,Provenza,1106114,1275453,Tipo Piso,2'',,
CL 55 # 28-54,Bolarqui,1106517,1278201,Tipo Piso,2'',,
CL 71D # 31A-05,"Quebrada La
iglesia",1106973,1277300,Tipo Piso,2'',,
"SUB-ESTACION PROVENZA C105
K24",Provenza,1106718,1275393,Tipo Piso,2'',,
CRA 19#41-51,Centro,1105568,1278799,Tipo Milán,3'',,
AUT FLORIDA # 86-30,Villa Diamante,1106970,1275910,Tipo Tráfico,6'',,
PEATONAL CRA 33A # 112-32,Villa Diamante,1106946,1275991,Tipo Tráfico,4'',,
CL 104B # 15A-03,Delicias,1105563,1275234,Tipo Tráfico,6'',,
CL 57 # 3W-05,Mutis,1104559,1277060,Tipo Milán,3'',,
CRA 2W # 58-07,Mutis,1104680,1277104,Tipo Milán,3'',,
CL 53 # 49-26 CASA 5,Pan de Azucar,1107690,1278515,Tipo Tráfico,4'',,
CL 105 # 22-160,Provenza,1106424,1275365,Tipo Tráfico,4'',,
CL 42 # 29-10,Mejoras Públicas,1106544,1279252,Tipo Tráfico,4'',,
CL 50 #16-48,San Miguel,1105491,1278266,Tipo Tráfico,4'',,
CL 41 # 26-45,Bólivar,1106253,1279075,Tipo Tráfico,4'',,
CL 32 # 26-80 SERVITECA PARQUE,"Antonia Santos
centro",1105972,1279707,Tipo Tráfico,4'',,
CRA 27 # 36-70,Bólivar,1106173,1279272,Tipo Tráfico,4'',,
CL 53 # 37-38,"Cabecera del
Llano",1107225,1278360,Tipo Tráfico,4'',,
CRA 27A # 51-10 LAVADERO,Nuevo Sotomayor,1106322,1278581,Tipo Tráfico,4'',,
CRA 27 # 33-02/22,"Antonia Santos
centro",1106026,1279640,Tipo Tráfico,4'',,
CRA 22#33-01,"Antonia Santos
centro",1105610,1279457,Tipo Tráfico,4'',,
CRA 28 # 42-47,Sotomayor,1106457,1279144,Tipo Tráfico,4'',,
CL 10 # 26-16,Universidad,1105572,1281142,Tipo Tráfico,4'',,
CRA 29 # 32-37,Mejoras Públicas,1106208,1279793,Tipo Tráfico,4'',,
CRA 39A # 42-56,"Cabecera del
Llano",1107188,1279361,Tipo Tráfico,4'',,
CL 35 # 29-20,Mejoras Públicas,1106358,1279570,Tipo Tráfico,4'',,
CRA 25 # 11-31,Universidad,1105506,1281011,Tipo Piso,2'',,
CRA 37 # 100-23 T 6,Fatima,1107782,1276460,Tipo Tráfico,4'',,
CRA 32A # 14-11,San Alonso,1106283,1280790,Tipo Milán,3'',,
CRA 39 # 48-152,"Cabecera del
Llano",1107243,1278752,Tipo Tráfico,4'',,
CRA 31 # 21-42,San Alonso,1106212,1280200,Tipo Piso,2'',,
CL 48 # 25-43,Nuevo Sotomayor,1106189,1278863,Tipo Milán,3'',,
CRA 21 # 54-62,La Concordia,1106132,1278069,Tipo Tráfico,4'',,
PEAT CRA 59 # 20-24,Provenza,1106147,1275131,Tipo Tráfico,4'',,
CL 35 # 29-05,Mejoras Públicas,1106345,1279564,Tipo Milán,3'',,
CL 43 # 35-55,"Cabecera del
Llano",1106928,1279302,Tipo Tráfico,4'',,
CL 18 # 32B-45,San Alonso,1106440,1280585,Tipo Tráfico,4'',,
CRA 29 # 16-67,San Alonso,1105960,1280598,Tipo Milán,3'',,
CRA 28 # 30-55,La Aurora,1106052,1279868,Tipo Milán,3'',,
CL 32 # 27,La Aurora,1106010,1279746,Tipo Tráfico,4'',,
CL 18 # 32-69,San Alonso,1106308,1280571,Tipo Tráfico,4'',,
CRA 27 # 33-95/97,Mejoras Públicas,1106114,1279549,Tipo Tráfico,4'',,
CRA 33 # 37-68/ 50,Mejoras Públicas,1106638,1279503,Tipo Tráfico,4'',,
CRA 27 # 37-56 LAVADERO,Mejoras Públicas,1106223,1279209,Tipo Tráfico,4'',,
CL 42 # 35-45,El Prado,1106893,1279372,Tipo Tráfico,4'',,
CL 36 # 28-07,Mejoras Públicas,1106278,1279457,Tipo Tráfico,4'',,
CL 33 # 30-20,Mejoras Públicas,1106342,1279806,Tipo Tráfico,4'',,
CL 15 # 25-50,San Francisco,1105609,1280711,Tipo Tráfico,4'',,
CRA 25 # 15-02,San Francisco,1105553,1280693,Tipo Tráfico,4'',,
CL 20 # 25-45,San Francisco,1105704,1280253,Tipo Tráfico,4'',,
CRA 55 # 71-02 PARROQUIA,Lagos del Cacique,1108252,1277619,Tipo Milán,3'',,
CRA 53 # 72-13,Lagos del Cacique,1108034,1277403,Tipo Tráfico,4'',,
CRA 11W # 60BIS-90,Brisas del Mutis,1104303,1276469,Tipo Milán,3'',,
CL 9 # 23-04 LOC 2,Comuneros,1105276,1281186,Tipo Milán,3'',,
"CRA 6 # 60-03 CUNJ. RESIDENCIAL
SAMANES 5","Ciudadela Real de
Minas",1105190,1277326,Tipo Milán,3'',,
CRA 9 # 60-02,"Ciudadela Real de
Minas",1105360,1277441,Tipo Tráfico,6'',,
CRA 9A#45A-03,"Chorreras de Don
Juan",1104757,1278324,Tipo Milán,3'',,
CRA 10E # 68-26,Pablo VI,1105874,1276572,Tipo Piso,2'',,
CRA 3 # 58-35 T 4D INT 1,"Ciudadela Real de
Minas",1104962,1277235,Tipo Milán,3'',,
CRA 14#42 ESQUINA,Centro,1105042,1278696,Tipo Tráfico,4'',,
CL 69 # 8A-31 JUAN XXIII,Juan XXIII,1105693,1276361,Tipo Milán,3'',,
CRA 17A # 63-37 LOC. 11,La Ceiba,1106070,1277372,Tipo Milán,3'',,
AV. QUEBRADA SECA CRA 18-96,Alarcón,1105245,1279624,Tipo Milán,3'',,
CL 69 # 20-25,La Victoria,1106435,1276897,Tipo Piso,2'',,
CL 68 # 15-04,La Victoria,1106131,1276786,Tipo Piso,2'',,
CL 67 # 16-30,La Victoria,1106130,1276942,Tipo Piso,2'',,
CL 68 # 11-06,La Victoria,1105970,1276663,Tipo Milán,3'',,
CRA 17C # 64-27,La Ceiba,1106225,1277377,Tipo Piso,2'',,
CL 61 # 17-36,La Ceiba,1106018,1277489,Tipo Milán,3'',,
CRA 27 # 67-15,La Salle,1106525,1277242,Tipo Milán,3'',,
CL 23N # 17-90,Olas Bajas,1104323,1283217,Tipo Milán,3'',,
"CL 32 CRA 27 PARQUE DE LOS
NIÑOS","Antonia Santos
centro",1105936,1279844,Tipo Tráfico,4'',,
CRA 30 # 53-16,Bolarqui,1106511,1278352,Tipo Tráfico,4'',,
CL 22 # 25-25,San Francisco,1105716,1280062,Tipo Tráfico,4'',,
CL 59#9A-9 ENVÍA,"Zona Industrial Autopista a Bucaramanga lado
norte",1101623,1275291,Tipo Tráfico,4'',,
CL 70 # 8B-27,Juan XXIII,1105726,1276323,Tipo Milán,3'',,
CRA 5 OCC # 11NC - 37,"Villas de San
Ignacio",1102850,1282745,Tipo Milán,3'',,
CRA 2A OCC # 8N - 03 ET 4,"Villas de San
Ignacio",1102589,1282456,Tipo Tráfico,4'',,
CRA 4 OCC # 9N - 29 -  ETAPA 6,"Villas de San
Ignacio",1102657,1282572,Tipo Tráfico,4'',,
CL 10ND # 5 OCC - 11 -  ETAPA 6,"Villas de San
Ignacio",1102758,1282701,Tipo Tráfico,4'',,
CL 11N # 1A OCC - 19,"Villas de San
Ignacio",1102868,1282559,Tipo Tráfico,4'',,
CRA 19#36,Centro,1105427,1279108,Tipo Milán,3'',,
CRA 35#PASAJE MARTÍNEZ MUTIS,Centro,1105160,1279096,Tipo Piso,2'',,
